Date,Open,High,Low,Close,Volume
2011-06-30,50.72,51.252,50.6921,51.2152,56216822.106186
2011-07-01,51.259,52.06,51.0956,51.9853,59240453.021537
2011-07-05,52.0221,52.2971,51.9115,52.2433,48018465.56004
2011-07-06,52.1905,52.5044,52.0141,52.4177,54887544.300562
2011-07-07,52.8042,53.2865,52.7326,53.132,51545939.941867
2011-07-08,52.6946,52.9985,52.3988,52.9896,77440488.761635
2011-07-11,52.4346,52.7036,51.8498,52.0321,57947451.889291
2011-07-12,52.0141,52.1257,51.5828,51.6386,93555675.71742
2011-07-13,52.0141,52.3709,51.6635,51.8498,90623017.528856
2011-07-14,52.0053,52.2264,51.0518,51.249,106553589.1193
2011-07-15,51.8129,51.9295,51.4433,51.9295,76066205.879344
2011-07-18,51.6545,51.8767,51.1494,51.6545,66268765.902246
2011-07-19,52.1716,52.873,52.1437,52.8312,82285246.420647
2011-07-20,53.124,53.132,52.5143,52.602,63480125.364235
2011-07-21,52.6488,53.2516,52.3709,52.9547,78097412.522786
2011-07-22,52.9368,53.5913,52.89,53.5007,48555932.851469
2011-07-25,53.0772,53.6919,52.9816,53.3941,54473101.7256
2011-07-26,53.3591,53.7099,53.2516,53.5275,45575245.35911
2011-07-27,53.1888,53.2247,52.0141,52.1437,93438446.516201
2011-07-28,52.1696,52.8979,51.9653,52.2334,67967662.880613
2011-07-29,51.8099,52.611,51.5609,52.067,92296540.308148
2011-08-01,52.6668,52.8042,51.1952,51.8229,95112494.24431
2011-08-02,51.5798,51.8099,50.4639,50.5157,101131206.08615
2011-08-03,50.6015,51.0608,49.6868,50.998,115361774.59192
2011-08-04,50.2537,50.3493,48.6258,48.6258,147905970.53514
2011-08-05,49.1847,49.401,46.966,48.3229,238493947.98134
2011-08-08,46.8654,47.6843,45.4127,45.4127,228047164.38358
2011-08-09,46.0484,47.6474,44.824,47.6036,214614694.73683
2011-08-10,46.5156,47.6116,45.6041,45.6589,228230469.88619
2011-08-11,46.2935,48.1944,46.0843,47.6654,155706162.93831
2011-08-12,47.9464,48.3877,47.4711,48.0898,100739228.91165
2011-08-15,48.2672,48.7991,48.052,48.7991,40198025.991375
2011-08-16,48.313,48.7902,47.7371,48.3877,99364872.757343
2011-08-17,48.4574,48.8529,47.5937,48.0988,92864223.773983
2011-08-18,46.8016,46.8016,45.3161,45.7336,144774392.87875
2011-08-19,45.2683,46.3822,44.8778,44.9136,107677613.94457
